¦Ç¶¥­È	¾÷²v                   	½s½X                  		½Xªø
216	0     		                    		0                   
217	0     		                    		0                   
218	0     		11101101            		8                   
219	0.00201416		0001110110          		10                  
220	0.000732422		                    		0                   
221	0     		101001101           		9                   
222	0     		                    		0                   
223	0     		00011101111         		11                  
224	0.000213623		                    		0                   
225	0     		                    		0                   
226	0     		001101001           		9                   
227	0     		0011010001          		10                  
228	0     		                    		0                   
229	0     		110010100           		9                   
230	0     		0000110000          		10                  
231	0     		                    		0                   
232	0     		11001011            		8                   
233	3.05176e-005		                    		0                   
234	0     		00010001            		8                   
235	0     		                    		0                   
236	0     		111011000           		9                   
237	0     		                    		0                   
238	0     		11010101            		8                   
239	0     		                    		0                   
240	0     		                    		0                   
241	0     		1001000             		7                   
242	0     		0111010111          		10                  
243	0     		                    		0                   
244	0     		                    		0                   
245	0     		                    		0                   
246	0     		10110010            		8                   
247	0     		                    		0                   
248	0     		110010101           		9                   
249	0     		011101011001        		12                  
250	0     		1110110010          		10                  
251	0     		                    		0                   
252	0     		                    		0                   
253	0     		00011101110010      		14                  
254	0     		                    		0                   
255	0     		000111010           		9                   
